,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
KID,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.040580000000000005
KMF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,11.2553
KRW,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,36.9945
KWD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.007958999999999999
KYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.021640000000000003
KZT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,13.3216
LAK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,564.4277
LBP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,2323.7216
LKR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,7.7681000000000004
LRD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,5.1947
LSL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.482
LYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.1419
MAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.2403
MDL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.4461
MGA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,117.0735
MKD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.4098
MMK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,54.5242
MNT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,92.4929
MOP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.2076
MRU,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.0323
MUR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.1728
MVR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.40140000000000003
MWK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,45.1781
MXN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.5079
MYR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.112
MZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,1.6575000000000002
NAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1746057601,"Thu, 01 May 2025 00:00:01 +0000",1746144001,"Fri, 02 May 2025 00:00:01 +0000",TRY,0.482
